A,B,C,D,MINA,MINB,MINC,MIND,MAXA,MAXB,MAXC,MAXD,NORMA,NORMB,NORMC,NORMD
-277.156945,508.9074928,-3.709078066,-1.384993338,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.371793511,-0.704011995,0.463938955,0.173254917
-275.7719516,512.6165709,-3.79701659,-1.413397366,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.369935605,-0.709143056,0.474938482,0.176808102
-274.3585543,516.4135875,-3.882453361,-1.448318685,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.368039597,-0.71439577,0.485625086,0.181176564
-272.9102356,520.2960408,-3.965162453,-1.489666013,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.366096743,-0.719766675,0.495970505,0.186348883
-271.4205696,524.2612033,-4.044921262,-1.537340243,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.364098423,-0.725251997,0.505946898,0.192312663
-269.8832293,528.3061246,-4.121510781,-1.591234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.362036151,-0.730847657,0.515526869,0.19905454
-268.2919948,532.4276353,-4.021510781,-1.551234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.359901581,-0.736549269,0.503018668,0.194050763
-266.7407602,536.4491461,-3.921510781,-1.511234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.35782067,-0.742112543,0.490510466,0.189046987
-265.2295257,540.3706569,-3.821510781,-1.471234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.355793418,-0.747537479,0.478002265,0.184043211
-263.7582911,544.1921677,-3.721510781,-1.431234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.353819823,-0.752824077,0.465494063,0.179039435
-262.3270566,547.9136785,-3.621510781,-1.391234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.351899886,-0.757972337,0.452985862,0.174035659
-260.935822,551.5351892,-3.521510781,-1.351234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.350033608,-0.76298226,0.440477661,0.169031882
-259.5845874,555.0567,-3.421510781,-1.311234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.348220988,-0.767853844,0.427969459,0.164028106
-258.2733529,558.4782108,-3.321510781,-1.271234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.346462026,-0.772587091,0.415461258,0.15902433
-257.0021183,561.7997216,-3.221510781,-1.231234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.344756723,-0.777181999,0.402953056,0.154020554
